Index,Content
85,Low amp low interuption rating - eliminate arc stack (adv. Funtion breaker)
86,ECL CoS Metalor (Tijuana)
87,COS Silver Contacts Dual Source (Checon to Brainin)
88,Outsource project from Lincoln to Clayens(Plastibell)
89,VLASE 10W or AREX MOPA 20W Handle Laser Marking
90,1062-Eliminate Line Protector 48838-001-01 and 48838-002-01
91,Two out A&B - Stablish the viability to invest in a progressive die to stamp L&R terminals
92,IHI_to_ILSCO_48010-105-50 ( No risk in H&D )
93,Springs Suppliers Bazz Houston to Newcomb
94,Change 155 Alloy to Standard Alloy
95,SHOCKWAVE
96,NEW CAFI
97,Shockwave Core - Redesign of Legacy 2P GFI Product
98,POLARIS
99,LTIP - HOM Jaw Phase 1 - Jaw & Tip Outsource to Bihler of America
100,LTIP - HOM Jaw Phase 2 - Tip Outsource to Keats (Jaw already w/ Keats)
101,Polaris Brainstorm - Remove Latch Plate (48118-136-01 & 48854-010-01)
102,"SBO L3 Proquipa - Bright Finishing, develop plating suppliers in the north of Mexico to supply all the MTY area and open possibilities to MEC to NEC"
103,"REB_COS-Small Parts to Jinrong 8 Part Numbers (Monterrey 6, Lexington, Lincoln) | Idea came from REB WS already review with category team."
104,20_COS_061_SPI TO KEATS. TRANSFER FROM SPI TO KEATS MFG.
105,COS MJ Celco to Interplex (30% MJ Celco - 70% S&V/Interplex)
106,COS Cu/Fe Terminal parts from MJ Celco to Interplex (S&V) 4PN
107,YL - QO120PAFGF
108,YL - QO115PAF
109,Dual Source BASF_DSM
110,Lincoln (duplicate toolings ) and Lexington (transfer toolings) outsource
111,19_COS_062_Small Parts plating
112,"REB Initiative- CoS- PMX/Global Brass to Agrawal - 30 PN (Tlaxcala, Lincoln) | Idea came from REB WS already review with category team."
113,LTIP - Outsource Tlaxcala
114,Blade Unification and Contact Rationalization
115,19_QVE_062_Small Parts plating
116,"H1_IN/OUT_Pacifico Accesories Outsource to Boneal, Packaging Unlimited, ""Baja Rep"""
117,2020_062_COS_RYPSA_NEWCOMB_1PO
118,K1 - Fasteners Standardization Project
119,Visi-trip Flag RM Change and Redesign
120,Handle Raw Material Change (Classic + Automech)
121,QVE Stablok Handles Color Standarization (UREA)
122,Polaris Brainstorm - Remove Compensator bimetal (48118-126-01)
123,Plastonium to Shubhada Wave 2
124,Polaris Brainstorm - Remove 1/3 of quick trip coil (1324-116000)
125,Approve Weiland 1218-048216RS (alloy 655)
126,Weiland to Agrawal Transportation Impact
127,Trip Lever Raw Material Change (steel to stainless steel) & Remove Nickel Plating (Classic + Automech)
128,Classic HOM Jaw to Automech Half Jaw design
129," Classic 1 pole cover for 15,20, 25 and 30 AMP"
130,Microswitch from Arrow to Crouzet
131,Reduce 10% of plastic on housing
132,PO2 QOM1 Tlx to Pac
133,PO2 QOM2 Tlx to Pac
134,Tlaloc program- QO1P Pac to Tlx
135,Tlaloc Promgra-QOU transfer Pac to Tlx
136,Tlaloc Program- 4P transfer Pac to Tlx
137,Tlaloc Program QOUHA transfer Pac to Tlx
138,Tlaloc Program- HOMB 1P transfer MTY to Tlx
139,Small Parts plating
140,SONS Tool Dual Source MINTECH
141,YL - QO120
142,YL - HOM230
143, 
144,Automech Half Jaw into HoM Classic
145,Substitute Silver Cadmium Contacts on MCBs (Thermomagnetic only)
146,Current path rationalization (GFI & AFIDF)
147,Lugs Rationalization Wave 1
148,"2551-Reduce flag/flange length by at least 0.020"" on 48118-684-01-P"
149,19_CoS_ECL Metalor to Brainin de Mexico (ECL Exit)
150,COS Umicore to Metalor Cedar Rapids AgNi Wire
151,Dual Sourcing of Silver Powder
152,COS Virginia Insulated Products to REA Magnet Wire Company
153,2019 Tijuana INTERNATIONAL WIRE GROUP NANA UDYOG
154,QO120/HOM230 - Use steel copper for blade material instead of copper on Automech (Lincoln)
155,QO120/HOM230 - Change RM from copper (Jaw) to copper plated steel and eliminate the Jaw Spring
156,Lyondell Basell Glass Fiber COS
157,Lincoln -Marbal
158,CoS Thermoset Stab-Lok- Idea tooling to Clayens
159,Lincoln outsource to Tijuana Eson
160,Bulk Packaging for MCBs
161,PAC CDA 162 Material Shortage
162,2020_062_COS_E&E_PALPILOT
163,2020_062_COS_LN_PLATINADORA_PLATING
